price,property_type,bedrooms,bathrooms,total_rooms,living_area,land_area,has_climatisation,has_parabole_tv,has_pool,has_handicapped_access,has_parking,has_garage,has_garden,has_fireplace,has_interphone,has_terrace,has_electric_heating,has_elevator,has_alarm_system,has_internet_access,has_sea_view,has_furnished,has_central_heating,has_kitchen_equipped,is_house,has_many_bedrooms,many_bathrooms,many_total_rooms,area_ratio,neighborhood_encoded,city_encoded,amenity_count,top_amenities_score
430000.0,Appartement,2,1,3.0,117.0,117.0,1,0,1,1,0,1,0,0,1,0,0,1,1,1,0,0,1,1,0.0,0,0,0,1.0,302228.1562310006,307718.75013972755,10,1
245000.0,Appartement,1,1,2.0,74.0,74.0,1,1,0,1,1,0,1,0,1,1,0,1,1,1,0,0,1,1,0.0,0,0,0,1.0,368515.75381549913,458256.9600923483,12,1
270000.0,Appartement,1,1,2.0,56.0,56.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,1.0,368515.75381549913,458256.9600923483,0,0
155000.0,Appartement,1,1,2.0,74.0,74.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,1.0,302228.1562310006,307718.75013972755,0,0
250000.0,Appartement,1,1,2.0,72.0,109.0,1,1,1,1,1,0,1,0,1,1,0,1,1,1,0,0,1,1,0.0,0,0,0,0.6605504587155964,368515.75381549913,458256.9600923483,13,2
190000.0,Appartement,2,1,2.0,110.0,85.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,1.2941176470588236,239701.1952191235,458256.9600923483,0,0
255000.0,Appartement,2,1,2.0,83.0,85.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.9764705882352941,239701.1952191235,458256.9600923483,1,0
320000.0,Appartement,1,1,2.0,76.0,76.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,1.0,505607.02213279676,458256.9600923483,1,0
210000.0,Appartement,1,1,1.0,75.0,85.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.8823529411764706,239701.1952191235,458256.9600923483,0,0
260000.0,Appartement,1,1,1.0,56.0,85.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0.0,0,0,0,0.6588235294117647,239701.1952191235,458256.9600923483,3,0
260000.0,Appartement,1,1,2.0,59.0,59.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.0,0,0,0,1.0,424414.6453058023,427863.83694779116,3,0
180000.0,Appartement,1,1,1.0,65.0,85.0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.7647058823529411,239701.1952191235,458256.9600923483,4,0
260000.0,Appartement,1,1,2.0,59.0,59.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.0,0,0,0,1.0,424414.6453058023,427863.83694779116,3,0
340000.0,Appartement,3,1,3.0,104.0,106.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.9811320754716981,317479.92000937636,421223.1284046693,0,0
185000.0,Appartement,2,1,3.0,75.0,75.0,1,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0.0,0,0,0,1.0,505607.02213279676,458256.9600923483,7,0
480000.0,Appartement,2,2,3.0,200.0,200.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,1.0,377309.35526500206,343962.42958593956,0,0
150000.0,Appartement,1,1,3.0,43.0,43.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0.0,0,0,0,1.0,562398.5204350646,458256.9600923483,4,0
380000.0,Appartement,2,1,5.0,160.0,160.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0,0,0,1.0,562398.5204350646,458256.9600923483,1,0
260000.0,Appartement,1,1,3.0,55.09,55.09,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0.0,0,0,0,1.0,562398.5204350646,458256.9600923483,3,0
186000.0,Appartement,2,1,5.0,85.0,85.0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0.0,0,0,0,1.0,239701.1952191235,458256.9600923483,6,0
186000.0,Appartement,2,1,2.0,85.0,85.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,1.0,453980.20527054707,458256.9600923483,1,0
490000.0,Appartement,3,2,4.0,104.0,106.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.9811320754716981,505607.02213279676,458256.9600923483,1,0
185000.0,Appartement,3,2,5.0,172.0,172.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,1.0,453980.20527054707,458256.9600923483,0,0
235000.0,Appartement,2,1,3.0,150.0,285.0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0.0,0,0,0,0.5263157894736842,453980.20527054707,458256.9600923483,4,1
250000.0,Appartement,5,1,8.0,170.0,170.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,1.0,252617.03886622717,316528.30231029313,0,0
200000.0,Appartement,3,1,6.0,114.0,114.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,1.0,252617.03886622717,316528.30231029313,0,0
420000.0,Appartement,3,3,4.0,130.0,130.0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0.0,0,0,0,1.0,635682.7877943125,427863.83694779116,5,0
450000.0,Appartement,1,1,3.0,84.0,33.0,1,1,0,0,1,0,0,0,1,1,0,1,0,0,0,0,1,1,0.0,0,0,0,2.5454545454545454,562398.5204350646,458256.9600923483,8,0
450000.0,Appartement,1,1,3.0,84.0,84.0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0.0,0,0,0,1.0,562398.5204350646,458256.9600923483,5,0
199000.0,Appartement,1,1,2.0,57.0,57.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0,0,0,1.0,562398.5204350646,458256.9600923483,2,1
600000.0,Appartement,3,1,3.0,160.0,160.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,1.0,333530.9611181017,363369.6864175023,0,0
250000.0,Appartement,2,1,5.0,90.0,90.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0.0,0,0,0,1.0,562398.5204350646,458256.9600923483,4,0
280000.0,Appartement,2,1,5.0,100.0,50.0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0.0,0,0,0,2.0,562398.5204350646,458256.9600923483,5,0
270000.0,Appartement,2,1,4.0,120.0,10.0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0.0,0,0,0,12.0,562398.5204350646,458256.9600923483,5,0
150000.0,Appartement,1,1,3.0,43.0,43.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.0,0,0,0,1.0,562398.5204350646,458256.9600923483,4,0
245000.0,Appartement,2,1,3.0,92.0,92.0,1,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0.0,0,0,0,1.0,371304.350658398,427863.83694779116,7,0
380000.0,Appartement,1,1,4.0,73.0,73.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.0,0,0,0,1.0,302228.1562310006,307718.75013972755,2,0
180000.0,Appartement,1,1,4.0,77.0,77.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,1.0,302228.1562310006,307718.75013972755,0,0
100000.0,Appartement,2,1,3.0,55.0,55.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,1.0,325426.08369746216,337796.95220125787,1,0
138000.0,Appartement,4,1,4.0,109.0,109.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,1.0,298723.7381799507,337796.95220125787,0,0
510000.0,Appartement,3,1,3.0,135.0,135.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,1.0,371304.350658398,427863.83694779116,0,0
393000.0,Appartement,2,1,1.0,123.0,123.0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0.0,0,0,0,1.0,383538.6938933855,363369.6864175023,5,0
270000.0,Appartement,1,1,1.0,82.0,82.0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0.0,0,0,0,1.0,383538.6938933855,363369.6864175023,5,0
355000.0,Appartement,2,1,1.0,127.0,127.0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0.0,0,0,0,1.0,383538.6938933855,363369.6864175023,5,0
435000.0,Appartement,2,1,1.0,136.0,136.0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0.0,0,0,0,1.0,383538.6938933855,363369.6864175023,5,0
420000.0,Appartement,4,3,5.0,200.0,200.0,1,0,0,0,0,0,0,0,1,1,0,1,1,1,0,0,1,1,0.0,0,0,0,1.0,317479.92000937636,421223.1284046693,8,0
130000.0,Appartement,3,1,6.0,104.0,106.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.9811320754716981,325426.08369746216,337796.95220125787,0,0
250000.0,Appartement,3,3,3.0,150.0,98.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,1.530612244897959,395244.33355290495,392364.62917641015,0,0
165000.0,Appartement,2,1,1.0,120.0,120.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.0,0,0,0,1.0,238470.68370835765,363369.6864175023,2,0
256200.0,Appartement,2,1,5.0,91.0,91.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,1.0,302228.1562310006,307718.75013972755,0,0
250000.0,Appartement,2,1,5.0,160.0,160.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0.0,0,0,0,1.0,302228.1562310006,307718.75013972755,3,0
160000.0,Appartement,3,2,4.0,107.0,121.0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.8842975206611571,370569.4790966393,316528.30231029313,3,0
250000.0,Appartement,2,1,3.0,121.0,121.0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,1,0.0,0,0,0,1.0,298723.7381799507,337796.95220125787,7,0
320000.0,Appartement,2,1,3.0,93.0,93.0,1,1,1,1,1,1,1,0,1,1,0,0,1,0,0,0,1,1,0.0,0,0,0,1.0,348244.4423895526,458256.9600923483,12,2
375000.0,Appartement,2,1,2.0,113.0,113.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,1.0,479613.30097085395,427863.83694779116,0,0
202000.0,Appartement,2,1,3.0,101.0,101.0,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,0.0,0,0,0,1.0,302228.1562310006,307718.75013972755,6,0
320000.0,Appartement,6,3,9.0,270.0,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,2.7,505607.02213279676,458256.9600923483,0,0
140000.0,Appartement,2,1,5.0,104.0,106.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.9811320754716981,435707.9419562312,363369.6864175023,0,0
290000.0,Appartement,3,2,7.0,108.0,108.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,1.0,298723.7381799507,337796.95220125787,0,0
120000.0,Appartement,2,1,5.0,70.0,70.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,1.0,336785.25724770955,337796.95220125787,0,0
190000.0,Appartement,2,1,5.0,77.0,77.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,1.0,336785.25724770955,337796.95220125787,0,0
200000.0,Appartement,2,1,5.0,77.0,77.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,1.0,336785.25724770955,337796.95220125787,0,0
100000.0,Appartement,2,1,5.0,76.0,76.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,1.0,336785.25724770955,337796.95220125787,0,0
240000.0,Appartement,2,1,1.0,45.0,45.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0.0,0,0,0,1.0,393962.5247884382,421223.1284046693,4,0
365000.0,Appartement,3,1,4.0,157.0,157.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,1.0,410888.71766293386,427863.83694779116,0,0
365000.0,Appartement,2,1,2.0,163.0,163.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,1.0,453980.20527054707,458256.9600923483,0,0
290000.0,Appartement,3,1,3.0,93.0,93.0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0.0,0,0,0,1.0,219007.6610817952,421223.1284046693,6,0
